Historia de Credito,Divida,Garantia,Renda,Risco
Ruim,Alta,Nenhuma,$0 a $15k,Alto
Desconhecida,Alta,Nenhuma,$15 a $35k,Alto
Desconhecida,Baixa,Nenhuma,$15 a $35k,Moderado
Desconhecida,Baixa,Nenhuma,$0 a $15k,Alto
Desconhecida,Baixa,Nenhuma,Acima de $35k,Baixo
Desconhecida,Baixa,Adequada,Acima de $35k,Baixo
Ruim,Baixa,Nenhuma,$0 a $15k,Alto
Ruim,Baixa,Adequada,Acima de $35k,Moderado
Boa,Baixa,Nenhuma,Acima de $35k,Baixo
Boa,Alta,Adequada,Acima de $35k,Baixo
Boa,Alta,Nenhuma,$0 a $15k,Alto
Boa,Alta,Nenhuma,$15 a $35k,Moderado
Boa,Alta,Nenhuma,Acima de $35k,baixo
Ruim,Alta,Nenhuma,$15 a $35k,Alto
Desconhecida,Alta,Nenhuma,Acima de $35k,Alto
Boa,Alta,Adequada,$0 a $15k,Moderado
Desconhecida,Baixa,Nenhuma,$15 a $35k,Moderado
Desconhecida,Alta,Nenhuma,Acima de $35k,Alto
Ruim,Baixa,Adequada,Acima de $35k,Moderado
Ruim,Alta,Nenhuma,$15 a $35k,Alto
